TF	Gene	Input
AATF	MYC	1
ABL1	BAX	1
ABL1	CCND2	1
ABL1	CDKN1A	1
ABL1	CSF1	1
ABL1	FOXO3	1
ABL1	JUN	1
ABL1	PIM1	1
ABL1	TP53	1
AES	LEF1	1
AES	RND3	1
AHR	AHRR	1
AHR	CCNG2	1
AHR	CYP1A1	1
AHR	CYP1B1	1
AHR	IL6	1
AHR	PCNA	1
AHR	RFC3	1
AHR	UGT1A1	1
AIP	AHR	1
APC	NOS2	1
APEX1	CCL2	1
APEX1	CD19	1
APEX1	NFKB1	1
APEX1	RELA	1
APEX1	SLC5A5	1
AR	ACTA1	1
AR	AKT1	1
AR	ARG1	1
AR	ARG2	1
AR	CDK20	1
AR	CDC6	1
AR	CDH2	1
AR	CDKN1A	1
AR	CTNNB1	1
AR	EGFR	1
AR	EP300	1
AR	ERBB2	1
AR	ERBB3	1
AR	ETV1	1
AR	HMOX1	1
AR	IGF1R	1
AR	JUN	1
AR	KISS1	1
AR	KISS1R	1
AR	KLK3	1
AR	NAT1	1
AR	NKX3-1	1
AR	PC	1
AR	PTEN	1
AR	TGFA	1
AR	TH	1
AR	TJP1	1
AR	TMPRSS2	1
AR	VEGFA	1
AR	WNT7B	1
ARID1A	IGH	1
ARID1B	IGH	1
ARID3A	PML	1
ARNT	CA9	1
ARNT	CYP1A1	1
ARNT	CYP1B1	1
ARNT	EPO	1
ARNT	HIF1A	1
ARNTL	BHLHE40	1
ARNTL	CRY1	1
ARNTL	CRY2	1
ARNTL	PER1	1
ARNTL	PER2	1
ARNTL	PER3	1
ARNTL2	SERPINE1	1
ATF1	CFTR	1
ATF1	FTH1	1
ATF1	IL10	1
ATF1	MAP1LC3B	1
ATF1	MITF	1
ATF1	PCSK1	1
ATF1	SLC20A1	1
ATF1	TGFB2	1
ATF2	APOC3	1
ATF2	ATF3	1
ATF2	CCND1	1
ATF2	IFNB1	1
ATF2	IFNG	1
ATF2	INS	1
ATF2	JUN	1
ATF2	MMP2	1
ATF2	PCK1	1
ATF2	PLAT	1
ATF2	POLB	1
ATF2	RELA	1
ATF2	RETN	1
ATF2	ST3GAL5	1
ATF2	TNF	1
ATF3	ASNS	1
ATF3	DDIT3	1
ATF3	GDF15	1
ATF3	IFNG	1
ATF4	APOE	1
ATF4	ASNS	1
ATF4	ATF3	1
ATF4	ATG5	1
ATF4	CEBPB	1
ATF4	CHAC1	1
ATF4	DDIT3	1
ATF4	DDIT4	1
ATF4	DDR2	1
ATF4	FGF19	1
ATF4	FGF21	1
ATF4	HRK	1
ATF4	IGFBP1	1
ATF4	MAP1LC3B	1
ATF4	NDC80	1
ATF4	NUPR1	1
ATF4	PLAU	1
ATF4	SIGMAR1	1
ATF4	SIRT1	1
ATF4	TRIB3	1
ATF4	VEGFA	1
ATF5	BCL2	1
ATF5	CCND3	1
ATF5	CREB1	1
ATF5	CYP2B6	1
ATF6	DNAJC3	1
ATF6	NR0B2	1
ATF6	NUCB1	1
ATF6	RTN3	1
ATF6	STARD4	1
ATF6	WBP1	1
ATF7	TAF12	1
ATM	BAX	1
ATM	CFLAR	1
ATM	DUSP1	1
ATM	FAS	1
ATM	FOXM1	1
ATM	GADD45A	1
ATM	KLRK1	1
ATM	MCL1	1
ATM	PVR	1
ATOH1	HES6	1
ATOH1	MUC2	1
BACH1	HMOX1	1
BACH1	MMP1	1
BARD1	ESR1	1
BCL11A	GATA1	1
BCL3	EGFR	1
BCL6	MYC	1
BRCA1	ASPM	1
BRCA1	ATM	1
BRCA1	CDKN1A	1
BRCA1	CDKN1B	1
BRCA1	CYP19A1	1
BRCA1	DDB2	1
BRCA1	DDIT3	1
BRCA1	EP300	1
BRCA1	ESR1	1
BRCA1	FST	1
BRCA1	GADD45A	1
BRCA1	IFNA1	1
BRCA1	IRF7	1
BRCA1	IRF9	1
BRCA1	MAD2L1	1
BRCA1	MDM2	1
BRCA1	RNASEL	1
BRCA1	S100A2	1
BRCA1	SIRT1	1
BRCA1	STAT1	1
BRCA1	STAT2	1
BRCA1	VEGFA	1
BRD7	BRD2	1
BRD7	BRD3	1
BTF3	ABL2	1
BTF3	ATM	1
BTF3	EPHB2	1
BTF3	HPSE2	1
BTG2	SPHK1	1
CBX7	CDH1	1
CDX1	PCNA	1
CDX1	PPARG	1
CDX1	PTGS2	1
CDX2	ACAT2	1
CDX2	APC	1
CDX2	AXIN2	1
CDX2	CDH17	1
CDX2	CDKN1A	1
CDX2	CFTR	1
CDX2	ELMO3	1
CDX2	FUT2	1
CDX2	HEPH	1
CDX2	KLF4	1
CDX2	LCT	1
CDX2	MEP1A	1
CDX2	MUC2	1
CDX2	SLC15A1	1
CDX2	TFF3	1
CDX2	UGT1A10	1
CDX2	UGT1A8	1
CEBPA	CCL2	1
CEBPA	CSF3R	1
CEBPA	ELANE	1
CEBPA	F9	1
CEBPA	HAMP	1
CEBPA	HSD17B11	1
CEBPA	HSPA4	1
CEBPA	IGF1	1
CEBPA	INSR	1
CEBPA	ITGAX	1
CEBPA	LEP	1
CEBPA	S100A9	1
CEBPA	SERPINC1	1
CEBPA	SFTPD	1
CEBPA	SOCS3	1
CEBPA	SPP1	1
CEBPA	STAR	1
CEBPB	ABCB1	1
CEBPB	ADM	1
CEBPB	CDKN1A	1
CEBPB	CRP	1
CEBPB	CSF3R	1
CEBPB	CSRP1	1
CEBPB	CXCL8	1
CEBPB	FURIN	1
CEBPB	GDF15	1
CEBPB	IL1B	1
CEBPB	IL4	1
CEBPB	IL6	1
CEBPB	INSR	1
CEBPB	IRF4	1
CEBPB	OXTR	1
CEBPB	PCK2	1
CEBPB	PRDM1	1
CEBPB	PRSS50	1
CEBPB	PTGS2	1
CEBPB	S100A9	1
CEBPB	SAA2	1
CEBPB	SFTPD	1
CEBPB	SLC19A1	1
CEBPB	SLC5A8	1
CEBPB	STAR	1
CEBPB	TNFAIP6	1
CEBPB	XBP1	1
CEBPD	CCL20	1
CEBPD	CXCL1	1
CEBPD	DDIT3	1
CEBPD	IL23A	1
CEBPD	POU5F1	1
CEBPD	PPARG	1
CEBPD	SOD1	1
CEBPD	TNFAIP6	1
CEBPG	SFTPD	1
CEBPZ	APC	1
CHD8	CCNE2	1
CIITA	HLA-A	1
CIITA	HLA-B	1
CIITA	HLA-C	1
CIITA	HLA-DMA	1
CIITA	HLA-DMB	1
CIITA	HLA-DOA	1
CIITA	HLA-DOB	1
CIITA	HLA-DRA	1
CIITA	IL4	1
CIITA	PSMC5	1
CLOCK	BHLHE40	1
CLOCK	BHLHE41	1
CLOCK	CRY1	1
CLOCK	CRY2	1
CLOCK	DEC1	1
CLOCK	NAMPT	1
CLOCK	NR0B2	1
CLOCK	PER1	1
CLOCK	PER2	1
CLOCK	PER3	1
CLOCK	STAR	1
COPS5	VEGFA	1
CRABP2	RARA	1
CREB1	ACACA	1
CREB1	BCL2	1
CREB1	BDNF	1
CREB1	CASP8	1
CREB1	CYP19A1	1
CREB1	ETV3	1
CREB1	GRPR	1
CREB1	IFNG	1
CREB1	IL10	1
CREB1	IL6	1
CREB1	LYL1	1
CREB1	MC2R	1
CREB1	MITF	1
CREB1	MUC4	1
CREB1	MUC5AC	1
CREB1	NDC80	1
CREB1	NOLC1	1
CREB1	NR5A2	1
CREB1	PCSK1	1
CREB1	PPP2CA	1
CREB1	PPP2R2B	1
CREB1	PSEN1	1
CREB1	PTGS2	1
CREB1	SLC20A1	1
CREB1	SMAD6	1
CREB1	UXT	1
CREB3	CXCR4	1
CREB5	ATP6V0E1	1
CREB5	CFB	1
CREB5	DGKG	1
CREB5	MAPKAPK3	1
CREB5	MX1	1
CREB5	TGFBR3	1
CREBBP	ALOX15	1
CREBBP	CDKN1A	1
CREBBP	CREB1	1
CREBBP	HINFP	1
CREBBP	HOXA10	1
CREBBP	HOXA9	1
CREBBP	IL4	1
CREBBP	INSM1	1
CREBBP	IRF1	1
CREBBP	PSMC5	1
CREM	ACE	1
CREM	MC2R	1
CREM	SLC5A5	1
CRTC1	PPARGC1A	1
CRX	BEST1	1
CRX	NR2E3	1
CRX	RBP3	1
CRX	RS1	1
CTCF	APP	1
CTCF	MYC	1
CTCF	PAX6	1
CTCF	RARRES1	1
CTCFL	BAG1	1
CTNNB1	CCND1	1
CTNNB1	CLDN2	1
CTNNB1	JUN	1
CTNNB1	MMP14	1
CTNNB1	MMP7	1
CTNNB1	MYC	1
CTNNB1	PLD1	1
CTNNB1	STARD7	1
CTNNB1	VIM	1
CUX1	CYBB	1
CUX1	WNT5A	1
DBP	ALDOB	1
DBP	CYP3A4	1
DBP	CYP7A1	1
DDIT3	ATG5	1
DDIT3	IL6	1
DDIT3	MAP1LC3B	1
DDIT3	RTN3	1
DDIT3	TNFRSF10B	1
DDIT3	TRIB3	1
DEK	BCL2	1
DLX3	CGA	1
