miRNA	Gene	Input
hsa-let-7a-2-3p	ANP32B	-1
hsa-let-7a-2-3p	BACH2	-1
hsa-let-7a-2-3p	FBXL3	-1
hsa-let-7a-2-3p	HAT1	-1
hsa-let-7a-2-3p	RAB5C	-1
hsa-let-7a-2-3p	RBM27	-1
hsa-let-7a-3p	ACVR2B	-1
hsa-let-7a-3p	ARAP2	-1
hsa-let-7a-3p	DLX2	-1
hsa-let-7a-3p	GABRG1	-1
hsa-let-7a-3p	RBM12B	-1
hsa-let-7a-3p	ZNF800	-1
hsa-let-7a-5p	AGO4	-1
hsa-let-7a-5p	ARID3B	-1
hsa-let-7a-5p	BACH1	-1
hsa-let-7a-5p	CBX5	-1
hsa-let-7a-5p	CCND2	-1
hsa-let-7a-5p	CDC34	-1
hsa-let-7a-5p	COIL	-1
hsa-let-7a-5p	FIGN	-1
hsa-let-7a-5p	GATM	-1
hsa-let-7a-5p	GNG5	-1
hsa-let-7a-5p	HMGA2	-1
hsa-let-7a-5p	IGF1R	-1
hsa-let-7a-5p	IGF2BP1	-1
hsa-let-7a-5p	LIN28B	-1
hsa-let-7a-5p	LRIG3	-1
hsa-let-7a-5p	MIB1	-1
hsa-let-7a-5p	NAP1L1	-1
hsa-let-7a-5p	NR6A1	-1
hsa-let-7a-5p	NRAS	-1
hsa-let-7a-5p	PGRMC1	-1
hsa-let-7a-5p	PPP1R15B	-1
hsa-let-7a-5p	SLC10A7	-1
hsa-let-7a-5p	SMARCAD1	-1
hsa-let-7a-5p	SMC1A	-1
hsa-let-7a-5p	STX3	-1
hsa-let-7a-5p	TRIM71	-1
hsa-let-7a-5p	YOD1	-1
hsa-let-7a-5p	ZBTB5	-1
hsa-let-7a-5p	ZNF644	-1
hsa-let-7b-3p	ACVR2B	-1
hsa-let-7b-3p	ARAP2	-1
hsa-let-7b-3p	DLX2	-1
hsa-let-7b-3p	GABRG1	-1
hsa-let-7b-3p	RBM12B	-1
hsa-let-7b-3p	ZNF800	-1
hsa-let-7b-5p	ARID3B	-1
hsa-let-7b-5p	BACH1	-1
hsa-let-7b-5p	CBX5	-1
hsa-let-7b-5p	CCND2	-1
hsa-let-7b-5p	CCNJ	-1
hsa-let-7b-5p	CDC34	-1
hsa-let-7b-5p	COIL	-1
hsa-let-7b-5p	COL3A1	-1
hsa-let-7b-5p	DLC1	-1
hsa-let-7b-5p	FIGN	-1
hsa-let-7b-5p	GATM	-1
hsa-let-7b-5p	GNG5	-1
hsa-let-7b-5p	HMGA2	-1
hsa-let-7b-5p	IGF1R	-1
hsa-let-7b-5p	IGF2BP1	-1
hsa-let-7b-5p	LIN28B	-1
hsa-let-7b-5p	LPGAT1	-1
hsa-let-7b-5p	LRIG3	-1
hsa-let-7b-5p	MIB1	-1
hsa-let-7b-5p	NAP1L1	-1
hsa-let-7b-5p	NME6	-1
hsa-let-7b-5p	NR6A1	-1
hsa-let-7b-5p	NRAS	-1
hsa-let-7b-5p	PGRMC1	-1
hsa-let-7b-5p	PPP1R15B	-1
hsa-let-7b-5p	PRTG	-1
hsa-let-7b-5p	SFMBT1	-1
hsa-let-7b-5p	SLC10A7	-1
hsa-let-7b-5p	SLF2	-1
hsa-let-7b-5p	SMARCAD1	-1
hsa-let-7b-5p	SMC1A	-1
hsa-let-7b-5p	STX3	-1
hsa-let-7b-5p	TRIM71	-1
hsa-let-7b-5p	UTRN	-1
hsa-let-7b-5p	YOD1	-1
hsa-let-7b-5p	ZBTB5	-1
hsa-let-7b-5p	ZNF644	-1
hsa-let-7c-3p	CITED2	-1
hsa-let-7c-3p	CSMD1	-1
hsa-let-7c-3p	FBXL3	-1
hsa-let-7c-3p	FOXO1	-1
hsa-let-7c-3p	HNRNPU	-1
hsa-let-7c-3p	JAZF1	-1
hsa-let-7c-3p	KRAS	-1
hsa-let-7c-3p	ZMIZ1	-1
hsa-let-7c-5p	ARID3B	-1
hsa-let-7c-5p	BACH1	-1
hsa-let-7c-5p	CBX5	-1
hsa-let-7c-5p	COIL	-1
hsa-let-7c-5p	FIGN	-1
hsa-let-7c-5p	GATM	-1
hsa-let-7c-5p	GNG5	-1
hsa-let-7c-5p	HMGA2	-1
hsa-let-7c-5p	IGF1R	-1
hsa-let-7c-5p	IGF2BP1	-1
hsa-let-7c-5p	LRIG3	-1
