Protein	Protein	Input
EPHB6	MTARC1	1
NAA11	MTARC1	1
AQP6	MARCHF2	1
APOL2	MARCHF3	1
FATE1	MARCHF3	1
ANKS6	MARCHF5	1
AQP6	MARCHF5	1
BIK	MARCHF5	1
BNIP1	MARCHF5	1
CGRRF1	MARCHF5	1
CREB3	MARCHF5	1
ERGIC3	MARCHF5	1
FATE1	MARCHF5	1
GPX8	MARCHF5	1
HSD17B13	MARCHF5	1
MANBAL	MARCHF5	1
ODF4	MARCHF5	1
PTPN5	MARCHF5	1
RTN4IP1	MARCHF5	1
SAR1A	MARCHF5	1
SCD	MARCHF5	1
SGPL1	MARCHF5	1
STMN4	MARCHF5	1
TIMMDC1	MARCHF5	1
TMEM139	MARCHF5	1
TMEM14B	MARCHF5	1
UBE2W	MARCHF5	1
YIF1A	MARCHF5	1
ADGRE2	MARCHF6	1
EXOC8	MARCHF7	1
MAPRE1	MARCHF7	1
MAPRE3	MARCHF7	1
UBE2D3	MARCHF7	1
UBE2K	MARCHF7	1
ARR3	MARCHF8	1
CYB5B	MARCHF8	1
FA2H	MARCHF8	1
GOSR2	MARCHF8	1
TMEM14C	MARCHF8	1
ANLN	MARCHF10	1
UNC45A	MARCHF10	1
WDYHV1	MARCHF10	1
AMOT	SEPTIN1	1
AURKB	SEPTIN1	1
DDIT4L	SEPTIN1	1
GORASP2	SEPTIN1	1
GPSM1	SEPTIN1	1
HSF2BP	SEPTIN1	1
LNX1	SEPTIN1	1
MID2	SEPTIN1	1
PICK1	SEPTIN1	1
PIH1D1	SEPTIN1	1
SDCBP	SEPTIN1	1
TEX11	SEPTIN1	1
TOLLIP	SEPTIN1	1
UBE2I	SEPTIN1	1
ATP6V0D2	SEPTIN2	1
BAZ2B	SEPTIN2	1
FN1	SEPTIN2	1
TBC1D21	SEPTIN2	1
LASP1	SEPTIN3	1
RNF4	SEPTIN3	1
DDIT4L	SEPTIN5	1
MAGEA2B	SEPTIN5	1
PLEKHF2	SEPTIN5	1
SPG21	SEPTIN5	1
CDK14	SEPTIN8	1
FN1	SEPTIN9	1
HSF2BP	SEPTIN9	1
SH3KBP1	SEPTIN9	1
RSPH14	SEPTIN12	1
SPAG4	SEPTIN12	1
ARMC7	SEPTIN14	1
FAM124B	SEPTIN14	1
GORASP2	SEPTIN14	1
VPS25	SEPTIN14	1
DOK3	A1CF	1
ECM1	A1CF	1
EIF4G1	A1CF	1
FHL2	A1CF	1
KLHDC7B	A1CF	1
KRT31	A1CF	1
KRT34	A1CF	1
OIP5	A1CF	1
POGZ	A1CF	1
SYNCRIP	A1CF	1
TRAF1	A1CF	1
APOE	A2M	1
APP	A2M	1
C11orf58	A2M	1
IL10	A2M	1
KLK3	A2M	1
MMP2	A2M	1
APPBP2	AADAC	1
AP2S1	AAGAB	1
VPS9D1	AAMDC	1
GABARAPL2	AAMP	1
TBXA2R	AAMP	1
GRB10	AANAT	1
MDFI	AANAT	1
EAPP	AAR2	1
CENPQ	AARD	1
CEP57	AARD	1
GRIPAP1	AARD	1
KIAA0753	AARD	1
KRT24	AARD	1
KRT27	AARD	1
LMO4	AARD	1
MAGEB4	AARD	1
STX1A	AARD	1
STX2	AARD	1
STX5	AARD	1
TFIP11	AARD	1
TSGA10	AARD	1
VPS37C	AARD	1
WDYHV1	AARD	1
EHHADH	AARS2	1
PTPA	AARS2	1
IRS4	AARSD1	1
CRX	AASDHPPT	1
MDFI	AASDHPPT	1
TRAF2	AASDHPPT	1
USP22	AASDHPPT	1
DAZAP2	AATF	1
LDOC1	AATF	1
MAGED1	AATF	1
MAPT	AATF	1
MNS1	AATF	1
NGDN	AATF	1
POLR2J	AATF	1
RB1	AATF	1
RBBP8	AATF	1
CDK5R1	AATK	1
PPP1CA	AATK	1
TEPSIN	AATK	1
SNTA1	ABCA1	1
ABCD1	ABCD1	1
ABCD1	ABCD2	1
PEX19	ABCD2	1
ABCD1	ABCD3	1
EIF3J	ABCE1	1
FN1	ABCF1	1
CCDC33	ABCF3	1
FCHSD2	ABCF3	1
MDFI	ABCF3	1
PSME3	ABCF3	1
RBPMS	ABCF3	1
THAP1	ABCF3	1
AQP6	ABCG1	1
MESD	ABCG8	1
CSTF2	ABHD11	1
DTX2	ABHD11	1
FNDC3B	ABHD11	1
PATZ1	ABHD11	1
PITX1	ABHD11	1
VAC14	ABHD11	1
KRT34	ABHD15	1
MTUS2	ABHD15	1
SAT1	ABHD15	1
WTAP	ABHD15	1
AGPAT3	ABHD16A	1
AQP6	ABHD16A	1
AQP7	ABHD16A	1
ATP5PF	ABHD16A	1
BRI3	ABHD16A	1
CBARP	ABHD16A	1
CIDEB	ABHD16A	1
CREB3	ABHD16A	1
CYP1A2	ABHD16A	1
DTX2	ABHD16A	1
EBP	ABHD16A	1
ERGIC3	ABHD16A	1
FDPS	ABHD16A	1
FKBP7	ABHD16A	1
GDAP1	ABHD16A	1
GOLT1A	ABHD16A	1
GORAB	ABHD16A	1
GPR152	ABHD16A	1
GYPC	ABHD16A	1
HSD17B13	ABHD16A	1
IFITM3	ABHD16A	1
ITGAM	ABHD16A	1
PERP	ABHD16A	1
PKMYT1	ABHD16A	1
POLE	ABHD16A	1
RETREG3	ABHD16A	1
RHBDD2	ABHD16A	1
RHBDL1	ABHD16A	1
RNF5	ABHD16A	1
SERF1A	ABHD16A	1
SLC10A1	ABHD16A	1
SLC30A2	ABHD16A	1
