Pathway	Gene	Input
Glycolysis / Gluconeogenesis	HK3	1
Glycolysis / Gluconeogenesis	HK1	1
Glycolysis / Gluconeogenesis	HK2	1
Glycolysis / Gluconeogenesis	HKDC1	1
Glycolysis / Gluconeogenesis	GCK	1
Glycolysis / Gluconeogenesis	GPI	1
Glycolysis / Gluconeogenesis	PFKM	1
Glycolysis / Gluconeogenesis	PFKP	1
Glycolysis / Gluconeogenesis	PFKL	1
Glycolysis / Gluconeogenesis	FBP1	1
Glycolysis / Gluconeogenesis	FBP2	1
Glycolysis / Gluconeogenesis	ALDOC	1
Glycolysis / Gluconeogenesis	ALDOA	1
Glycolysis / Gluconeogenesis	ALDOB	1
Glycolysis / Gluconeogenesis	TPI1	1
Glycolysis / Gluconeogenesis	GAPDH	1
Glycolysis / Gluconeogenesis	GAPDHS	1
Glycolysis / Gluconeogenesis	PGK2	1
Glycolysis / Gluconeogenesis	PGK1	1
Glycolysis / Gluconeogenesis	PGAM1	1
Glycolysis / Gluconeogenesis	PGAM2	1
Glycolysis / Gluconeogenesis	PGAM4	1
Glycolysis / Gluconeogenesis	ENO3	1
Glycolysis / Gluconeogenesis	ENO2	1
Glycolysis / Gluconeogenesis	ENO1	1
Glycolysis / Gluconeogenesis	ENO4	1
Glycolysis / Gluconeogenesis	PKM	1
Glycolysis / Gluconeogenesis	PKLR	1
Glycolysis / Gluconeogenesis	PDHA2	1
Glycolysis / Gluconeogenesis	PDHA1	1
Glycolysis / Gluconeogenesis	PDHB	1
Glycolysis / Gluconeogenesis	DLAT	1
Glycolysis / Gluconeogenesis	DLD	1
Glycolysis / Gluconeogenesis	PDHX	1
Glycolysis / Gluconeogenesis	LDHAL6A	1
Glycolysis / Gluconeogenesis	LDHAL6B	1
Glycolysis / Gluconeogenesis	LDHA	1
Glycolysis / Gluconeogenesis	LDHB	1
Glycolysis / Gluconeogenesis	LDHC	1
Glycolysis / Gluconeogenesis	ADH1A	1
Glycolysis / Gluconeogenesis	ADH1B	1
Glycolysis / Gluconeogenesis	ADH1C	1
Glycolysis / Gluconeogenesis	ADH7	1
Glycolysis / Gluconeogenesis	ADH4	1
Glycolysis / Gluconeogenesis	ADH5	1
Glycolysis / Gluconeogenesis	ADH6	1
Glycolysis / Gluconeogenesis	AKR1A1	1
Glycolysis / Gluconeogenesis	ALDH2	1
Glycolysis / Gluconeogenesis	ALDH3A2	1
Glycolysis / Gluconeogenesis	ALDH1B1	1
Glycolysis / Gluconeogenesis	ALDH7A1	1
Glycolysis / Gluconeogenesis	ALDH9A1	1
Glycolysis / Gluconeogenesis	ALDH3B1	1
Glycolysis / Gluconeogenesis	ALDH3B2	1
Glycolysis / Gluconeogenesis	ALDH3A1	1
Glycolysis / Gluconeogenesis	ACSS1	1
Glycolysis / Gluconeogenesis	ACSS2	1
Glycolysis / Gluconeogenesis	GALM	1
Glycolysis / Gluconeogenesis	PGM1	1
Glycolysis / Gluconeogenesis	PGM2	1
Glycolysis / Gluconeogenesis	G6PC1	1
Glycolysis / Gluconeogenesis	G6PC2	1
Glycolysis / Gluconeogenesis	G6PC3	1
Glycolysis / Gluconeogenesis	ADPGK	1
Glycolysis / Gluconeogenesis	BPGM	1
Glycolysis / Gluconeogenesis	MINPP1	1
Glycolysis / Gluconeogenesis	PCK1	1
Glycolysis / Gluconeogenesis	PCK2	1
Citrate cycle (TCA cycle)	CS	1
Citrate cycle (TCA cycle)	ACLY	1
Citrate cycle (TCA cycle)	ACO2	1
Citrate cycle (TCA cycle)	ACO1	1
Citrate cycle (TCA cycle)	IDH1	1
Citrate cycle (TCA cycle)	IDH2	1
Citrate cycle (TCA cycle)	IDH3B	1
Citrate cycle (TCA cycle)	IDH3G	1
Citrate cycle (TCA cycle)	IDH3A	1
Citrate cycle (TCA cycle)	OGDHL	1
Citrate cycle (TCA cycle)	OGDH	1
Citrate cycle (TCA cycle)	DLST	1
Citrate cycle (TCA cycle)	DLD	1
Citrate cycle (TCA cycle)	SUCLG1	1
Citrate cycle (TCA cycle)	SUCLG2	1
Citrate cycle (TCA cycle)	SUCLA2	1
Citrate cycle (TCA cycle)	SDHA	1
Citrate cycle (TCA cycle)	SDHB	1
Citrate cycle (TCA cycle)	SDHC	1
Citrate cycle (TCA cycle)	SDHD	1
Citrate cycle (TCA cycle)	FH	1
Citrate cycle (TCA cycle)	MDH1	1
Citrate cycle (TCA cycle)	MDH2	1
Citrate cycle (TCA cycle)	PC	1
Citrate cycle (TCA cycle)	PCK1	1
Citrate cycle (TCA cycle)	PCK2	1
Citrate cycle (TCA cycle)	PDHA2	1
Citrate cycle (TCA cycle)	PDHA1	1
Citrate cycle (TCA cycle)	PDHB	1
Citrate cycle (TCA cycle)	DLAT	1
Citrate cycle (TCA cycle)	PDHX	1
Pentose phosphate pathway	GPI	1
Pentose phosphate pathway	G6PD	1
Pentose phosphate pathway	PGLS	1
Pentose phosphate pathway	H6PD	1
Pentose phosphate pathway	PGD	1
Pentose phosphate pathway	RPE	1
Pentose phosphate pathway	RPEL1	1
