ID1	ID2	Type
SCOC	SIKE1	direct
SCOC	C21ORF91	direct
SCOC	ABCE1	co-expression
SCOC	AIMP1	co-expression
SCOC	ANAPC10	co-expression
SCOC	ARFIP1	co-expression
SCOC	ASNSD1	co-expression
SCOC	BET1	co-expression
SCOC	COMMD8	co-expression
SCOC	DNAJB14	co-expression
SCOC	EIF4E	co-expression
SCOC	ELMOD2	co-expression
SCOC	ERGIC2	co-expression
SCOC	MOB4	co-expression
SCOC	NUP54	co-expression
SCOC	OCIAD1	co-expression
SCOC	PCNP	co-expression
SCOC	PEX13	co-expression
SCOC	PPP3R1	co-expression
SCOC	SRP9	co-expression
SCOC	TMA16	co-expression
SCOC	TWF1	co-expression
SCOC	UGP2	co-expression
SCP2	CMPK1	co-expression
SCP2	GPBP1L1	co-expression
SCP2	OMA1	co-expression
SCP2	SLC35A3	co-expression
BBX	CEP97	co-expression
SDS	HAVCR2	co-expression
UNC5B	ITGA11	co-expression
UNC5B	MRC2	co-expression
RC3H1	ACAP2	co-expression
RC3H1	BCLAF1	co-expression
RC3H1	BRWD1	co-expression
RC3H1	EXOC8	co-expression
RC3H1	FNIP1	co-expression
RC3H1	HERC4	co-expression
RC3H1	MAP3K2	co-expression
RC3H1	RASA2	co-expression
RC3H1	REST	co-expression
RC3H1	RICTOR	co-expression
RC3H1	SENP6	co-expression
RC3H1	UHMK1	co-expression
RC3H1	ZNF148	co-expression
RC3H1	ZNF654	co-expression
ZNF12	CDK13	co-expression
ZNF12	KRIT1	co-expression
ZNF12	PURB	co-expression
ZNF12	RBAK	co-expression
ZNF12	ZNF107	co-expression
RC3H2	ASXL2	co-expression
RC3H2	BRAF	co-expression
RC3H2	FBXO11	co-expression
RC3H2	GAPVD1	co-expression
RC3H2	MAP3K2	co-expression
RC3H2	PIK3CA	co-expression
RC3H2	PIKFYVE	co-expression
RC3H2	SETX	co-expression
RC3H2	STX17	co-expression
RC3H2	TAOK1	co-expression
UNC50	HSD17B11	direct
UNC50	MTIF3	direct
UNC50	TMEM14B	direct
ZNF22	SMIM15	co-expression
ZNF24	C18ORF25	co-expression
ZNF24	PIK3C3	co-expression
ZNF24	VPS4B	co-expression
ADAMTS12	ADAM12	co-expression
ADAMTS12	AMOTL1	co-expression
ADAMTS12	ANTXR1	co-expression
ADAMTS12	ASPN	co-expression
ADAMTS12	BICC1	co-expression
ADAMTS12	C1S	co-expression
ADAMTS12	CALD1	co-expression
ADAMTS12	CCDC8	co-expression
ADAMTS12	CCDC80	co-expression
ADAMTS12	CDH11	co-expression
ADAMTS12	CDK14	co-expression
ADAMTS12	CLMP	co-expression
ADAMTS12	COL11A1	co-expression
ADAMTS12	COL12A1	co-expression
ADAMTS12	COL5A2	co-expression
ADAMTS12	COL6A3	co-expression
ADAMTS12	COL8A1	co-expression
ADAMTS12	COL8A2	co-expression
ADAMTS12	CRISPLD2	co-expression
ADAMTS12	CTHRC1	co-expression
ADAMTS12	CTSK	co-expression
ADAMTS12	DDR2	co-expression
ADAMTS12	DLC1	co-expression
ADAMTS12	ECM2	co-expression
ADAMTS12	EVC	co-expression
ADAMTS12	FAM110B	co-expression
ADAMTS12	FAP	co-expression
ADAMTS12	FBN1	co-expression
ADAMTS12	FBXL7	co-expression
ADAMTS12	FERMT2	co-expression
ADAMTS12	FIBIN	co-expression
ADAMTS12	FNDC1	co-expression
ADAMTS12	FRMD6	co-expression
ADAMTS12	FSTL1	co-expression
ADAMTS12	GAS7	co-expression
ADAMTS12	GLI3	co-expression
ADAMTS12	GLT8D2	co-expression
ADAMTS12	GPC6	co-expression
ADAMTS12	GREM1	co-expression
ADAMTS12	HEG1	co-expression
ADAMTS12	IGFBP5	co-expression
ADAMTS12	IL1R1	co-expression
ADAMTS12	INHBA	co-expression
ADAMTS12	KCNE4	co-expression
ADAMTS12	LAMA4	co-expression
ADAMTS12	LRRC15	co-expression
ADAMTS12	LUM	co-expression
ADAMTS12	MAP1A	co-expression
ADAMTS12	MCC	co-expression
ADAMTS12	MPDZ	co-expression
ADAMTS12	MSRB3	co-expression
ADAMTS12	NRP1	co-expression
ADAMTS12	NRP2	co-expression
ADAMTS12	OLFML1	co-expression
ADAMTS12	PCDH7	co-expression
ADAMTS12	PDGFC	co-expression
ADAMTS12	POSTN	co-expression
ADAMTS12	PRRX1	co-expression
ADAMTS12	RAB31	co-expression
ADAMTS12	SDC2	co-expression
ADAMTS12	SERPINF1	co-expression
ADAMTS12	SGCD	co-expression
ADAMTS12	SGIP1	co-expression
ADAMTS12	SPOCK1	co-expression
ADAMTS12	SULF1	co-expression
ADAMTS12	TIMP2	co-expression
ADAMTS12	TSHZ3	co-expression
ADAMTS12	VCAN	co-expression
ADAMTS12	VIM	co-expression
ADAMTS12	VSTM4	co-expression
ADAMTS12	ZEB1	co-expression
ADAMTS12	ZNF521	co-expression
ADAMTS12	ZNF532	co-expression
ADAMTS12	SNAI2	co-expression
ADAMTS12	SSC5D	co-expression
ADAMTS12	COL3A1	co-expression
ADAMTS12	FN1	co-expression
ADAMTS12	ITGA11	co-expression
ADAMTS12	ITGA5	co-expression
ADAMTS12	LOX	co-expression
ADAMTS12	MXRA5	co-expression
ADAMTS12	NTM	co-expression
ADAMTS12	PDGFRB	co-expression
ADAMTS10	COL6A2	co-expression
ADAMTS10	EFS	co-expression
ADAMTS10	EMILIN1	co-expression
ADAMTS10	HLX	co-expression
ADAMTS10	HSPA12B	co-expression
ADAMTS10	IFFO1	co-expression
ADAMTS10	MAP3K12	co-expression
ADAMTS10	PLXDC1	co-expression
